state,year,week,week_cases,m_accum,f_accum,cases_accum
Baja California,2015,14,,,3.0,
Baja California Sur,2015,14,,,,
Campeche,2015,14,,,,
Coahuila,2015,14,,1.0,1.0,
Colima,2015,14,2.0,1.0,1.0,
Chiapas,2015,14,,,,
Chihuahua,2015,14,,,,
Ciudad de México,2015,14,,,,
Durango,2015,14,,,,
Guanajuato,2015,14,,,2.0,
Guerrero,2015,14,,,,
Hidalgo,2015,14,,,,
Jalisco,2015,14,,,,
México,2015,14,,,,
Michoacán,2015,14,,,,
Morelos,2015,14,,,,
Nayarit,2015,14,,,,
Nuevo León,2015,14,,,1.0,
Oaxaca,2015,14,,,,
Puebla,2015,14,,,,
Querétaro,2015,14,,,,
Quintana Roo,2015,14,,,,
San Luis Potosí,2015,14,,,,
Sinaloa,2015,14,,,3.0,
Sonora,2015,14,,7.0,9.0,
Tabasco,2015,14,,,,
Tamaulipas,2015,14,,,,
Tlaxcala,2015,14,,,,
Veracruz,2015,14,,,,
Yucatán,2015,14,,,,
Zacatecas,2015,14,,,,
Aguascalientes,2015,16,,,,
Baja California,2015,16,,,3.0,
Baja California Sur,2015,16,,,,
Campeche,2015,16,,,,
Coahuila,2015,16,1.0,1.0,2.0,
Colima,2015,16,,1.0,1.0,
Chiapas,2015,16,,,,
Chihuahua,2015,16,,,,
Ciudad de México,2015,16,,,,
Durango,2015,16,,,,
Guanajuato,2015,16,,,2.0,
Guerrero,2015,16,,,,
Hidalgo,2015,16,,,,
Jalisco,2015,16,,,,
México,2015,16,,,,
Michoacán,2015,16,,,,
Morelos,2015,16,,,,
Nayarit,2015,16,,,,
Nuevo León,2015,16,,1.0,2.0,
Oaxaca,2015,16,,,,
Puebla,2015,16,,,,
Querétaro,2015,16,,,,
Quintana Roo,2015,16,,,,
San Luis Potosí,2015,16,,,,
Sinaloa,2015,16,,,4.0,
Sonora,2015,16,2.0,9.0,10.0,
Tabasco,2015,16,,,,
Tamaulipas,2015,16,,,,
Tlaxcala,2015,16,,,,
Veracruz,2015,16,,,,
Yucatán,2015,16,,,,
Zacatecas,2015,16,,,,
Aguascalientes,2015,17,,,,
Baja California,2015,17,1.0,,4.0,
Baja California Sur,2015,17,,,,
Campeche,2015,17,,,,
Coahuila,2015,17,1.0,1.0,3.0,
Colima,2015,17,,1.0,1.0,
Chiapas,2015,17,,,,
Chihuahua,2015,17,,,,
Ciudad de México,2015,17,,,,
Durango,2015,17,,,,
Guanajuato,2015,17,,,2.0,
Guerrero,2015,17,,,,
Hidalgo,2015,17,,,,
Jalisco,2015,17,,,,
México,2015,17,,,,
Michoacán,2015,17,1.0,,1.0,
Morelos,2015,17,,,,
Nayarit,2015,17,,,,
Nuevo León,2015,17,,1.0,2.0,
Oaxaca,2015,17,,,,
Puebla,2015,17,,,,
Querétaro,2015,17,,,,
Quintana Roo,2015,17,,,,
San Luis Potosí,2015,17,,,,
Sinaloa,2015,17,,,4.0,
Sonora,2015,17,1.0,9.0,11.0,
Tabasco,2015,17,,,,
Tamaulipas,2015,17,,,,
Tlaxcala,2015,17,,,,
Veracruz,2015,17,,,,
Yucatán,2015,17,,,,
Zacatecas,2015,17,,,,
Aguascalientes,2015,18,,,,
Baja California,2015,18,2.0,1.0,5.0,
Baja California Sur,2015,18,,,,
Campeche,2015,18,,,,
Coahuila,2015,18,1.0,1.0,4.0,
Colima,2015,18,,1.0,1.0,
Chiapas,2015,18,,,,
Chihuahua,2015,18,,,,
Ciudad de México,2015,18,,,,
Durango,2015,18,,,,
Guanajuato,2015,18,,,2.0,
Guerrero,2015,18,,,,
Hidalgo,2015,18,,,,
Jalisco,2015,18,,,,
México,2015,18,,,,
Michoacán,2015,18,,,,
Morelos,2015,18,,,,
Nayarit,2015,18,,,,
Nuevo León,2015,18,,1.0,2.0,
Oaxaca,2015,18,,,,
Puebla,2015,18,,,,
Querétaro,2015,18,,,,
Quintana Roo,2015,18,,,,
San Luis Potosí,2015,18,,,,
Sinaloa,2015,18,,,4.0,
Sonora,2015,18,1.0,10.0,11.0,
Tabasco,2015,18,,,,
Tamaulipas,2015,18,,,,
Tlaxcala,2015,18,,,,
Veracruz,2015,18,,,,
Yucatán,2015,18,,,,
Zacatecas,2015,18,,,,
Aguascalientes,2015,19,,,,
Baja California,2015,19,,1.0,5.0,
Baja California Sur,2015,19,,,,
Campeche,2015,19,,,,
Coahuila,2015,19,,1.0,4.0,
Colima,2015,19,,1.0,1.0,
Chiapas,2015,19,,,,
Chihuahua,2015,19,,,,
Ciudad de México,2015,19,,,,
Durango,2015,19,,,,
Guanajuato,2015,19,,,2.0,
Guerrero,2015,19,,,,
Hidalgo,2015,19,,,,
Jalisco,2015,19,,,,
México,2015,19,,,,
Michoacán,2015,19,,,,
Morelos,2015,19,,,,
Nayarit,2015,19,,,,
Nuevo León,2015,19,,1.0,5.0,
Oaxaca,2015,19,,,,
Puebla,2015,19,,,,
Querétaro,2015,19,,,,
Quintana Roo,2015,19,,,,
San Luis Potosí,2015,19,,,,
Sinaloa,2015,19,,,4.0,
Sonora,2015,19,3.0,12.0,12.0,
Tabasco,2015,19,,,,
Tamaulipas,2015,19,,,,
Tlaxcala,2015,19,,,,
Veracruz,2015,19,,,,
Yucatán,2015,19,,,,
Zacatecas,2015,19,,,,
Aguascalientes,2015,20,,,,
Baja California,2015,20,1.0,2.0,5.0,
Baja California Sur,2015,20,,,,
Campeche,2015,20,,,,
Coahuila,2015,20,,1.0,4.0,
Colima,2015,20,,1.0,1.0,
Chiapas,2015,20,,,,
Chihuahua,2015,20,,,,
Ciudad de México,2015,20,,,,
Durango,2015,20,,,,
Guanajuato,2015,20,,,2.0,
Guerrero,2015,20,,,,
Hidalgo,2015,20,,,,
Jalisco,2015,20,,,,
México,2015,20,,,,
Michoacán,2015,20,,,,
Morelos,2015,20,,,,
Nayarit,2015,20,,,,
Nuevo León,2015,20,,1.0,5.0,
Oaxaca,2015,20,,,,
Puebla,2015,20,,,,
Querétaro,2015,20,,,,
Quintana Roo,2015,20,,,,
San Luis Potosí,2015,20,,,,
Sinaloa,2015,20,,,4.0,
Sonora,2015,20,,12.0,12.0,
Tabasco,2015,20,,,,
Tamaulipas,2015,20,,,,
Tlaxcala,2015,20,,,,
Veracruz,2015,20,,,,
Yucatán,2015,20,,,,
Zacatecas,2015,20,,,,
Aguascalientes,2015,21,,,,
Baja California,2015,21,,2.0,5.0,
Baja California Sur,2015,21,1.0,1.0,,
Campeche,2015,21,,,,
Coahuila,2015,21,,1.0,4.0,
Colima,2015,21,,1.0,1.0,
Chiapas,2015,21,,,,
Chihuahua,2015,21,,,,
Ciudad de México,2015,21,,,,
Durango,2015,21,,,,
Guanajuato,2015,21,,,1.0,
Guerrero,2015,21,,,,
Hidalgo,2015,21,,,,
Jalisco,2015,21,,,,
México,2015,21,,,,
Michoacán,2015,21,,,,
Morelos,2015,21,,,,
Nayarit,2015,21,,,,
Nuevo León,2015,21,,1.0,5.0,
Oaxaca,2015,21,,,,
Puebla,2015,21,,,,
Querétaro,2015,21,,,,
Quintana Roo,2015,21,,,,
San Luis Potosí,2015,21,,,,
Sinaloa,2015,21,,,4.0,
Sonora,2015,21,3.0,13.0,14.0,
Tabasco,2015,21,,,,
Tamaulipas,2015,21,,,,
Tlaxcala,2015,21,,,,
Veracruz,2015,21,,,,
Yucatán,2015,21,,,,
Zacatecas,2015,21,,,,
Aguascalientes,2015,22,,,,
Baja California,2015,22,,2.0,5.0,
Baja California Sur,2015,22,,1.0,,
Campeche,2015,22,,,,
Coahuila,2015,22,1.0,2.0,4.0,
Colima,2015,22,,1.0,1.0,
Chiapas,2015,22,,,,
Chihuahua,2015,22,,,,
Ciudad de México,2015,22,,,,
Durango,2015,22,,,,
Guanajuato,2015,22,,,1.0,
Guerrero,2015,22,,,,
Hidalgo,2015,22,,,,
Jalisco,2015,22,,,,
México,2015,22,,,,
Michoacán,2015,22,,,,
Morelos,2015,22,,,,
Nayarit,2015,22,,,,
Nuevo León,2015,22,,1.0,5.0,
Oaxaca,2015,22,,,,
Puebla,2015,22,,,,
Querétaro,2015,22,,,,
Quintana Roo,2015,22,,,,
San Luis Potosí,2015,22,,,,
Sinaloa,2015,22,,,4.0,
Sonora,2015,22,2.0,14.0,15.0,
Tabasco,2015,22,,,,
Tamaulipas,2015,22,,,,
Tlaxcala,2015,22,,,,
Veracruz,2015,22,,,,
Yucatán,2015,22,,,,
Zacatecas,2015,22,,,,
Aguascalientes,2015,23,,,,
Baja California,2015,23,1.0,3.0,5.0,
Baja California Sur,2015,23,,1.0,,
Campeche,2015,23,,,,
Coahuila,2015,23,,2.0,4.0,
Colima,2015,23,,1.0,1.0,
Chiapas,2015,23,,,,
Chihuahua,2015,23,,1.0,,
Ciudad de México,2015,23,,,,
Durango,2015,23,,,,
Guanajuato,2015,23,,,1.0,
Guerrero,2015,23,,,,
Hidalgo,2015,23,,,,
Jalisco,2015,23,,,,
México,2015,23,,,,
Michoacán,2015,23,,,,
Morelos,2015,23,,,,
Nayarit,2015,23,,,,
Nuevo León,2015,23,,1.0,5.0,
Oaxaca,2015,23,,,,
Puebla,2015,23,,,,
Querétaro,2015,23,,,,
Quintana Roo,2015,23,,,,
San Luis Potosí,2015,23,,,,
Sinaloa,2015,23,,,4.0,
Sonora,2015,23,4.0,16.0,17.0,
Tabasco,2015,23,,,,
Tamaulipas,2015,23,,,,
Tlaxcala,2015,23,,,,
Veracruz,2015,23,,,,
Yucatán,2015,23,,,,
Zacatecas,2015,23,,,,
Aguascalientes,2015,24,,,,
Baja California,2015,24,2.0,4.0,6.0,
Baja California Sur,2015,24,,1.0,,
Campeche,2015,24,,,,
Coahuila,2015,24,1.0,2.0,5.0,
Colima,2015,24,,1.0,1.0,
Chiapas,2015,24,,,,
Chihuahua,2015,24,,1.0,,
Ciudad de México,2015,24,,,,
Durango,2015,24,,,,
Guanajuato,2015,24,,,1.0,
Guerrero,2015,24,,,,
Hidalgo,2015,24,,,,
Jalisco,2015,24,,,,
México,2015,24,,,,
Michoacán,2015,24,,,,
Morelos,2015,24,,,,
Nayarit,2015,24,,,,
Nuevo León,2015,24,,1.0,6.0,
Oaxaca,2015,24,,,,
Puebla,2015,24,,,,
Querétaro,2015,24,,,,
Quintana Roo,2015,24,1.0,1.0,,
San Luis Potosí,2015,24,,,,
Sinaloa,2015,24,,,4.0,
Sonora,2015,24,4.0,19.0,18.0,
Tabasco,2015,24,,,,
Tamaulipas,2015,24,,,,
Tlaxcala,2015,24,,,,
Veracruz,2015,24,,,,
Yucatán,2015,24,,,,
Zacatecas,2015,24,,,,
Aguascalientes,2015,25,,,,
Baja California,2015,25,3.0,7.0,6.0,
Baja California Sur,2015,25,,1.0,,
Campeche,2015,25,,,,
Coahuila,2015,25,2.0,3.0,6.0,
Colima,2015,25,,1.0,1.0,
Chiapas,2015,25,,,,
Chihuahua,2015,25,,1.0,,
Ciudad de México,2015,25,,,,
Durango,2015,25,,,,
Guanajuato,2015,25,,,1.0,
Guerrero,2015,25,,,,
Hidalgo,2015,25,,,,
Jalisco,2015,25,,,,
México,2015,25,,,,
Michoacán,2015,25,,,,
Morelos,2015,25,,,,
Nayarit,2015,25,,,,
Nuevo León,2015,25,,1.0,6.0,
Oaxaca,2015,25,,,,
Puebla,2015,25,,,,
Querétaro,2015,25,,,,
Quintana Roo,2015,25,,1.0,,
San Luis Potosí,2015,25,,,,
Sinaloa,2015,25,,,4.0,
Sonora,2015,25,2.0,20.0,19.0,
Tabasco,2015,25,,,,
Tamaulipas,2015,25,,,,
Tlaxcala,2015,25,,,,
Veracruz,2015,25,,,,
Yucatán,2015,25,,,,
Zacatecas,2015,25,,,,
Aguascalientes,2015,26,,,,
Baja California,2015,26,2.0,8.0,7.0,
Baja California Sur,2015,26,,1.0,,
Campeche,2015,26,,,,
Coahuila,2015,26,1.0,3.0,7.0,
Colima,2015,26,,1.0,1.0,
Chiapas,2015,26,,,,
Chihuahua,2015,26,,1.0,,
Ciudad de México,2015,26,,,,
Durango,2015,26,,,,
Guanajuato,2015,26,,,1.0,
Guerrero,2015,26,,,,
Hidalgo,2015,26,,,,
Jalisco,2015,26,,,,
México,2015,26,,,,
Michoacán,2015,26,,,,
Morelos,2015,26,,,,
Nayarit,2015,26,,,,
Nuevo León,2015,26,,1.0,7.0,
Oaxaca,2015,26,,,,
Puebla,2015,26,,,,
Querétaro,2015,26,,,,
Quintana Roo,2015,26,,1.0,,
San Luis Potosí,2015,26,,,,
Sinaloa,2015,26,,1.0,5.0,
Sonora,2015,26,,20.0,20.0,
Tabasco,2015,26,,,,
Tamaulipas,2015,26,,,,
Tlaxcala,2015,26,,,,
Veracruz,2015,26,,,,
Yucatán,2015,26,,,,
Zacatecas,2015,26,,,,
Aguascalientes,2015,27,,,,
Baja California,2015,27,4.0,11.0,8.0,
Baja California Sur,2015,27,,1.0,,
Campeche,2015,27,,,,
Coahuila,2015,27,,3.0,7.0,
Colima,2015,27,,1.0,1.0,
Chiapas,2015,27,,,,
Chihuahua,2015,27,,1.0,,
Ciudad de México,2015,27,,,,
Durango,2015,27,,,,
Guanajuato,2015,27,,,1.0,
Guerrero,2015,27,,,,
Hidalgo,2015,27,,,,
Jalisco,2015,27,,,,
México,2015,27,,,,
Michoacán,2015,27,,,,
Morelos,2015,27,,,,
Nayarit,2015,27,,,,
Nuevo León,2015,27,,1.0,7.0,
Oaxaca,2015,27,,,,
Puebla,2015,27,,,,
Querétaro,2015,27,,,,
Quintana Roo,2015,27,,1.0,,
San Luis Potosí,2015,27,,,,
Sinaloa,2015,27,,1.0,5.0,
Sonora,2015,27,6.0,23.0,23.0,
Tabasco,2015,27,,,,
Tamaulipas,2015,27,,,,
Tlaxcala,2015,27,,,,
Veracruz,2015,27,,,,
Yucatán,2015,27,,,,
Zacatecas,2015,27,,,,
Aguascalientes,2015,28,,,,
Baja California,2015,28,4.0,13.0,10.0,
Baja California Sur,2015,28,,1.0,,
Campeche,2015,28,,,,
Coahuila,2015,28,,3.0,7.0,
Colima,2015,28,,1.0,1.0,
Chiapas,2015,28,,,,
Chihuahua,2015,28,,1.0,,
Ciudad de México,2015,28,,,,
Durango,2015,28,,,,
Guanajuato,2015,28,,,1.0,
Guerrero,2015,28,,,,
Hidalgo,2015,28,,,,
Jalisco,2015,28,,,,
México,2015,28,,,,
Michoacán,2015,28,,,,
Morelos,2015,28,,,,
Nayarit,2015,28,,,,
Nuevo León,2015,28,,1.0,7.0,
Oaxaca,2015,28,,,,
Puebla,2015,28,,,,
Querétaro,2015,28,,,,
Quintana Roo,2015,28,,1.0,,
San Luis Potosí,2015,28,,,,
Sinaloa,2015,28,2.0,2.0,6.0,
Sonora,2015,28,2.0,24.0,24.0,
Tabasco,2015,28,,,,
Tamaulipas,2015,28,,,,
Tlaxcala,2015,28,,,,
Veracruz,2015,28,,,,
Yucatán,2015,28,,,,
Zacatecas,2015,28,,,,
Aguascalientes,2015,29,,,,
Baja California,2015,29,8.0,17.0,14.0,
Baja California Sur,2015,29,,1.0,,
Campeche,2015,29,,,,
Coahuila,2015,29,1.0,3.0,8.0,
Colima,2015,29,,1.0,1.0,
Chiapas,2015,29,,,,
Chihuahua,2015,29,,1.0,,
Ciudad de México,2015,29,,,,
Durango,2015,29,,,,
Guanajuato,2015,29,1.0,,2.0,
Guerrero,2015,29,,,,
Hidalgo,2015,29,,,,
Jalisco,2015,29,,,,
México,2015,29,,,,
Michoacán,2015,29,,,,
Morelos,2015,29,,,,
Nayarit,2015,29,,,,
Nuevo León,2015,29,,1.0,7.0,
Oaxaca,2015,29,,,,
Puebla,2015,29,,,,
Querétaro,2015,29,,,,
Quintana Roo,2015,29,,1.0,,
San Luis Potosí,2015,29,,,,
Sinaloa,2015,29,,2.0,6.0,
Sonora,2015,29,1.0,28.0,25.0,
Tabasco,2015,29,,,,
Tamaulipas,2015,29,,,,
Tlaxcala,2015,29,,,,
Veracruz,2015,29,,,,
Yucatán,2015,29,,,,
Zacatecas,2015,29,,,,
Aguascalientes,2015,30,,,,
Baja California,2015,30,9.0,22.0,18.0,
Baja California Sur,2015,30,1.0,1.0,1.0,
Campeche,2015,30,,,,
Coahuila,2015,30,,3.0,8.0,
Colima,2015,30,,1.0,1.0,
Chiapas,2015,30,,,,
Chihuahua,2015,30,,1.0,,
Ciudad de México,2015,30,,,,
Durango,2015,30,,,,
Guanajuato,2015,30,,,2.0,
Guerrero,2015,30,,,,
Hidalgo,2015,30,,,,
Jalisco,2015,30,,,,
México,2015,30,,,,
Michoacán,2015,30,,,,
Morelos,2015,30,,,,
Nayarit,2015,30,,,,
Nuevo León,2015,30,,1.0,7.0,
Oaxaca,2015,30,,,,
Puebla,2015,30,,,,
Querétaro,2015,30,,,,
Quintana Roo,2015,30,,1.0,,
San Luis Potosí,2015,30,,,,
Sinaloa,2015,30,,2.0,6.0,
Sonora,2015,30,2.0,29.0,27.0,
Tabasco,2015,30,,,,
Tamaulipas,2015,30,,,,
Tlaxcala,2015,30,,,,
Veracruz,2015,30,,,,
Yucatán,2015,30,,,,
Zacatecas,2015,30,,,,
Aguascalientes,2015,31,,,,
Baja California,2015,31,5.0,26.0,19.0,
Baja California Sur,2015,31,,1.0,1.0,
Campeche,2015,31,,,,
Coahuila,2015,31,,3.0,8.0,
Colima,2015,31,,1.0,1.0,
Chiapas,2015,31,,,,
Chihuahua,2015,31,,1.0,,
Ciudad de México,2015,31,,,,
Durango,2015,31,,,,
Guanajuato,2015,31,1.0,,3.0,
Guerrero,2015,31,,,,
Hidalgo,2015,31,,,1.0,
Jalisco,2015,31,,,,
México,2015,31,,,,
Michoacán,2015,31,,,,
Morelos,2015,31,,,,
Nayarit,2015,31,,,,
Nuevo León,2015,31,,4.0,12.0,
Oaxaca,2015,31,,,,
Puebla,2015,31,,,,
Querétaro,2015,31,,,,
Quintana Roo,2015,31,,1.0,,
San Luis Potosí,2015,31,,,,
Sinaloa,2015,31,1.0,2.0,7.0,
Sonora,2015,31,1.0,36.0,30.0,
Tabasco,2015,31,,,,
Tamaulipas,2015,31,,,,
Tlaxcala,2015,31,,,,
Veracruz,2015,31,,,,
Yucatán,2015,31,,,,
Zacatecas,2015,31,,,,
Aguascalientes,2015,32,,,,
Baja California,2015,32,7.0,31.0,22.0,
Baja California Sur,2015,32,,1.0,1.0,
Campeche,2015,32,,,,
Coahuila,2015,32,,3.0,8.0,
Colima,2015,32,,1.0,1.0,
Chiapas,2015,32,,,,
Chihuahua,2015,32,,1.0,,
Ciudad de México,2015,32,,,,
Durango,2015,32,,,,
Guanajuato,2015,32,,,3.0,
Guerrero,2015,32,,,,
Hidalgo,2015,32,,,1.0,
Jalisco,2015,32,,,,
México,2015,32,,,,
Michoacán,2015,32,,,,
Morelos,2015,32,,,,
Nayarit,2015,32,,,,
Nuevo León,2015,32,,3.0,11.0,
Oaxaca,2015,32,,,,
Puebla,2015,32,,,,
Querétaro,2015,32,,,,
Quintana Roo,2015,32,,1.0,,
San Luis Potosí,2015,32,,,,
Sinaloa,2015,32,,2.0,7.0,
Sonora,2015,32,6.0,42.0,35.0,
Tabasco,2015,32,,,,
Tamaulipas,2015,32,,,,
Tlaxcala,2015,32,,,,
Veracruz,2015,32,,,,
Yucatán,2015,32,,,,
Zacatecas,2015,32,,,4.0,
Aguascalientes,2015,33,,,,
Baja California,2015,33,4.0,31.0,24.0,
Baja California Sur,2015,33,,1.0,1.0,
Campeche,2015,33,1.0,,1.0,
Coahuila,2015,33,,3.0,9.0,
Colima,2015,33,,1.0,1.0,
Chiapas,2015,33,,,,
Chihuahua,2015,33,1.0,2.0,,
Ciudad de México,2015,33,,,,
Durango,2015,33,,,,
Guanajuato,2015,33,1.0,1.0,3.0,
Guerrero,2015,33,,,,
Hidalgo,2015,33,,,1.0,
Jalisco,2015,33,,,,
México,2015,33,,,,
Michoacán,2015,33,,,,
Morelos,2015,33,,,,
Nayarit,2015,33,,,,
Nuevo León,2015,33,,4.0,10.0,
Oaxaca,2015,33,,,,
Puebla,2015,33,,,,
Querétaro,2015,33,,,,
Quintana Roo,2015,33,,,,
San Luis Potosí,2015,33,,,,
Sinaloa,2015,33,,2.0,7.0,
Sonora,2015,33,5.0,44.0,38.0,
Tabasco,2015,33,,,,
Tamaulipas,2015,33,,,,
Tlaxcala,2015,33,,,,
Veracruz,2015,33,,,,
Yucatán,2015,33,,,,
Zacatecas,2015,33,,,4.0,
Aguascalientes,2015,34,,,,
Baja California,2015,34,4.0,33.0,26.0,
Baja California Sur,2015,34,,1.0,,
Campeche,2015,34,,,1.0,
Coahuila,2015,34,,3.0,11.0,
Colima,2015,34,,1.0,1.0,
Chiapas,2015,34,,,,
Chihuahua,2015,34,,2.0,,
Ciudad de México,2015,34,,,,
Durango,2015,34,,,,
Guanajuato,2015,34,4.0,2.0,6.0,
Guerrero,2015,34,,,,
Hidalgo,2015,34,,,1.0,
Jalisco,2015,34,,,,
México,2015,34,,,,
Michoacán,2015,34,,,,
Morelos,2015,34,,9.0,2.0,
Nayarit,2015,34,,,,
Nuevo León,2015,34,,4.0,8.0,
Oaxaca,2015,34,,,,
Puebla,2015,34,,,,
Querétaro,2015,34,,,,
Quintana Roo,2015,34,,,,
San Luis Potosí,2015,34,,,,
Sinaloa,2015,34,,2.0,6.0,
Sonora,2015,34,10.0,49.0,45.0,
Tabasco,2015,34,,,,
Tamaulipas,2015,34,1.0,1.0,,
Tlaxcala,2015,34,,,,
Veracruz,2015,34,,,,
Yucatán,2015,34,,,,
Zacatecas,2015,34,,,4.0,
Aguascalientes,2015,35,,,,
Baja California,2015,35,8.0,34.0,33.0,
Baja California Sur,2015,35,,1.0,2.0,
Campeche,2015,35,,,1.0,
Coahuila,2015,35,,3.0,11.0,
Colima,2015,35,,1.0,1.0,
Chiapas,2015,35,,,,
Chihuahua,2015,35,,2.0,,
Ciudad de México,2015,35,,,,
Durango,2015,35,,,,
Guanajuato,2015,35,,2.0,6.0,
Guerrero,2015,35,,,,
Hidalgo,2015,35,,,1.0,
Jalisco,2015,35,1.0,,1.0,
México,2015,35,,,,
Michoacán,2015,35,,,,
Morelos,2015,35,,9.0,2.0,
Nayarit,2015,35,,,,
Nuevo León,2015,35,,2.0,2.0,
Oaxaca,2015,35,,,,
Puebla,2015,35,,,,
Querétaro,2015,35,,,,
Quintana Roo,2015,35,,2.0,2.0,
San Luis Potosí,2015,35,,,,
Sinaloa,2015,35,,4.0,17.0,
Sonora,2015,35,5.0,52.0,49.0,
Tabasco,2015,35,,,,
Tamaulipas,2015,35,,,,
Tlaxcala,2015,35,,,,
Veracruz,2015,35,,,,
Yucatán,2015,35,,,,
Zacatecas,2015,35,,,4.0,
Aguascalientes,2015,36,,,,
Baja California,2015,36,7.0,37.0,37.0,
Baja California Sur,2015,36,,1.0,2.0,
Campeche,2015,36,,,1.0,
Coahuila,2015,36,1.0,3.0,12.0,
Colima,2015,36,,1.0,1.0,
Chiapas,2015,36,,,,
Chihuahua,2015,36,,2.0,,
Ciudad de México,2015,36,,,,
Durango,2015,36,,,,
Guanajuato,2015,36,,2.0,6.0,
Guerrero,2015,36,,,,
Hidalgo,2015,36,,,1.0,
Jalisco,2015,36,,3.0,3.0,
México,2015,36,,,,
Michoacán,2015,36,,,,
Morelos,2015,36,,9.0,2.0,
Nayarit,2015,36,,,,
Nuevo León,2015,36,,2.0,2.0,
Oaxaca,2015,36,,,,
Puebla,2015,36,,,,
Querétaro,2015,36,,,,
Quintana Roo,2015,36,,2.0,3.0,
San Luis Potosí,2015,36,,,,
Sinaloa,2015,36,,4.0,17.0,
Sonora,2015,36,5.0,47.0,39.0,
Tabasco,2015,36,,,,
Tamaulipas,2015,36,,,,
Tlaxcala,2015,36,,,,
Veracruz,2015,36,,,,
Yucatán,2015,36,,,,
Zacatecas,2015,36,,,4.0,
Aguascalientes,2015,37,,,,
Baja California,2015,37,7.0,40.0,41.0,
Baja California Sur,2015,37,,1.0,2.0,
Campeche,2015,37,,,1.0,
Coahuila,2015,37,3.0,3.0,15.0,
Colima,2015,37,,1.0,1.0,
Chiapas,2015,37,,,,
Chihuahua,2015,37,,2.0,,
Ciudad de México,2015,37,,,,
Durango,2015,37,,,,
Guanajuato,2015,37,,2.0,6.0,
Guerrero,2015,37,,,,
Hidalgo,2015,37,,,1.0,
Jalisco,2015,37,,3.0,3.0,
México,2015,37,,,,
Michoacán,2015,37,,,,
Morelos,2015,37,,9.0,2.0,
Nayarit,2015,37,,,,
Nuevo León,2015,37,,2.0,2.0,
Oaxaca,2015,37,,,,
Puebla,2015,37,,,,
Querétaro,2015,37,,,,
Quintana Roo,2015,37,,2.0,3.0,
San Luis Potosí,2015,37,,,,
Sinaloa,2015,37,,4.0,17.0,
Sonora,2015,37,6.0,52.0,40.0,
Tabasco,2015,37,,,,
Tamaulipas,2015,37,,,,
Tlaxcala,2015,37,,,,
Veracruz,2015,37,,,,
Yucatán,2015,37,,,,
Zacatecas,2015,37,,,4.0,
Aguascalientes,2015,38,,,,
Baja California,2015,38,16.0,48.0,48.0,
Baja California Sur,2015,38,,1.0,2.0,
Campeche,2015,38,,,1.0,
Coahuila,2015,38,,4.0,15.0,
Colima,2015,38,,1.0,1.0,
Chiapas,2015,38,,,,
Chihuahua,2015,38,,2.0,,
Ciudad de México,2015,38,,,,
Durango,2015,38,,,,
Guanajuato,2015,38,,2.0,6.0,
Guerrero,2015,38,,,,
Hidalgo,2015,38,,,1.0,
Jalisco,2015,38,,3.0,3.0,
México,2015,38,,,,
Michoacán,2015,38,,,,
Morelos,2015,38,,9.0,2.0,
Nayarit,2015,38,,,,
Nuevo León,2015,38,1.0,2.0,3.0,
Oaxaca,2015,38,,,,
Puebla,2015,38,,,,
Querétaro,2015,38,,,,
Quintana Roo,2015,38,,2.0,3.0,
San Luis Potosí,2015,38,,,,
Sinaloa,2015,38,,4.0,17.0,
Sonora,2015,38,4.0,57.0,44.0,
Tabasco,2015,38,,,,
Tamaulipas,2015,38,,,,
Tlaxcala,2015,38,,,,
Veracruz,2015,38,,,,
Yucatán,2015,38,,,,
Zacatecas,2015,38,,,4.0,
Aguascalientes,2015,39,,,,
Baja California,2015,39,21.0,54.0,63.0,
Baja California Sur,2015,39,,1.0,2.0,
Campeche,2015,39,,,1.0,
Coahuila,2015,39,1.0,5.0,15.0,
Colima,2015,39,,1.0,1.0,
Chiapas,2015,39,,,,
Chihuahua,2015,39,,2.0,,
Ciudad de México,2015,39,,,,
Durango,2015,39,,,,
Guanajuato,2015,39,,2.0,6.0,
Guerrero,2015,39,,,,
Hidalgo,2015,39,,,1.0,
Jalisco,2015,39,,3.0,3.0,
México,2015,39,,,,
Michoacán,2015,39,,,,
Morelos,2015,39,,9.0,2.0,
Nayarit,2015,39,,,,
Nuevo León,2015,39,,2.0,3.0,
Oaxaca,2015,39,,,,
Puebla,2015,39,,,,
Querétaro,2015,39,,,,
Quintana Roo,2015,39,,2.0,3.0,
San Luis Potosí,2015,39,,,,
Sinaloa,2015,39,1.0,4.0,18.0,
Sonora,2015,39,6.0,60.0,47.0,
Tabasco,2015,39,,,,
Tamaulipas,2015,39,,,,
Tlaxcala,2015,39,,,,
Veracruz,2015,39,,,,
Yucatán,2015,39,,,,
Zacatecas,2015,39,,,4.0,
Aguascalientes,2015,40,,,,
Baja California,2015,40,21.0,62.0,76.0,
Baja California Sur,2015,40,,1.0,2.0,
Campeche,2015,40,,,1.0,
Coahuila,2015,40,,5.0,15.0,
Colima,2015,40,,1.0,1.0,
Chiapas,2015,40,,,,
Chihuahua,2015,40,,2.0,,
Ciudad de México,2015,40,,,,
Durango,2015,40,,,,
Guanajuato,2015,40,,2.0,6.0,
Guerrero,2015,40,,,,
Hidalgo,2015,40,,,1.0,
Jalisco,2015,40,,3.0,3.0,
